AUTOMOBILE ASSEMBLER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AL-Ghazi Tractors,427.44,450.0,470.18,445.0,470.18,42.74,"43,821"
Atlas Honda Ltd,"1,145.83",1147.0,1169.9,1147.0,1152.5,6.67,"3,561"
Dewan Motors,36.34,36.02,36.5,35.11,35.5,-0.84,"951,850"
Ghandhara Automobile,472.47,470.51,474.0,447.0,448.0,-24.47,"928,334"
Ghandhara Ind.,686.26,689.98,689.98,665.02,666.22,-20.04,"225,063"
Hinopak Motor,385.74,385.74,388.15,375.0,379.5,-6.24,"5,914"
Honda Atlas Cars,298.97,300.0,300.0,291.31,292.5,-6.47,"449,285"
Indus Motor Co.XD,"1,926.14",1948.49,1948.49,1910.0,1927.9,1.76,"3,043"
Millat Tractors,580.79,583.0,599.98,578.0,591.0,10.21,"212,881"
Sazgar Engineering,"1,299.82",1290.02,1324.99,1290.0,1310.0,10.18,"235,467"
AUTOMOBILE PARTS & ACCESSORIES
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Agriautos Ind.,110.69,112.0,112.5,107.01,109.0,-1.69,"27,241"
Atlas Battery,277.67,278.51,281.99,270.0,272.8,-4.87,"14,997"
Bal.Wheels,133.02,136.0,136.0,133.4,134.9,1.88,"2,684"
Bela Automotive,138.21,150.0,150.0,128.0,132.98,-5.23,"6,496"
Dewan Auto Engg,28.85,29.94,29.97,27.75,27.83,-1.02,"4,957"
Exide (PAK),826.25,828.0,828.0,811.0,815.0,-11.25,"2,116"
Ghandhara Tyre,37.81,38.1,38.5,37.6,38.29,0.48,"139,973"
Loads Limited,14.52,14.56,14.85,14.23,14.23,-0.29,"1,146,782"
Panther Tyres Ltd.,38.50,39.0,39.45,38.25,38.7,0.2,"9,587"
Thal Limited,371.91,372.0,372.0,369.01,371.49,-0.42,"1,649"
Treet Battery Ltd.,11.47,11.6,11.84,11.55,11.65,0.18,"763,523"
CABLE & ELECTRICAL GOODS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
EMCO Industries,41.75,37.58,40.0,37.58,40.0,-1.75,600
Fast Cables Ltd.,24.16,24.74,24.74,23.9,23.99,-0.17,"4,032,094"
Pak Elektron,45.34,45.34,45.7,44.5,44.52,-0.82,"1,951,956"
Pakistan Cables-,150.99,154.99,154.99,150.0,152.0,1.01,"26,658"
Siemens Pak.,"1,501.38",1508.99,1516.0,1508.99,1516.0,14.62,138
Waves Corp Ltd.,7.54,7.6,7.62,7.42,7.47,-0.07,"2,078,747"
